"full_name","url","description","中文描述","项目分类","项目评价","相关性等级","相关性评分","相关性理由","language","stars","forks","archived","created_at","updated_at","pushed_at","topics"
"mholling/nswtopo","https://github.com/mholling/nswtopo","A vector topographic mapping tool, with layers available for NSW and Tasmania. Pre-built maps also available:","用于制作或展示地形图的项目，数据层覆盖新南威尔士州和塔斯马尼亚。","地图/GIS/空间数据","适合作为塔州地图、地理边界、空间可视化或位置数据线索。 相关性高，建议优先打开核查。","高","4","项目内容与塔州研究、数据或公共信息高度相关。","Ruby","51","17","False","2011-12-10T13:02:42Z","2026-04-03T03:15:43Z","2026-05-06T06:31:08Z",""
"wghuneke/UTasIMAS_PhDThesis_Template","https://github.com/wghuneke/UTasIMAS_PhDThesis_Template","A Latex template for a PhD thesis at the Institute for Marine and Antarctic Studies at the University of Tasmania.","塔斯马尼亚大学或其相关学院的论文/学位论文 LaTeX 模板。","UTAS/教育/课程","适合了解塔斯马尼亚大学相关课程、模板、学生项目或研究代码。 可作为第二梯队资料查看。","中","3","与塔斯马尼亚大学相关，若关注本地教育/研究网络有参考价值。","TeX","14","10","False","2020-06-01T06:49:18Z","2025-09-11T00:25:46Z","2020-06-01T07:54:33Z",""
"alexgleith/tasmap.org","https://github.com/alexgleith/tasmap.org","My Map of Tasmania","塔斯马尼亚地图网站或地图展示项目。","地图/GIS/空间数据","适合作为塔州地图、地理边界、空间可视化或位置数据线索。 相关性高，建议优先打开核查。","高","5","主题直接指向塔斯马尼亚地点、机构、数据或物种，优先查看。","JavaScript","5","2","False","2016-07-30T00:58:38Z","2026-01-05T13:41:40Z","2017-07-17T10:53:03Z",""
"T3A2Group/client","https://github.com/T3A2Group/client","Tasmania Resort MERN Project Front-End","塔斯马尼亚度假村 MERN 项目的前端代码。","其他 Tasmania 相关","与 Tasmania 有一定关系，建议结合 README 再判断具体价值。 描述信息较少或主题较边缘，可放在后面查看。","低","1","可以确认有塔州关联，但项目主题较泛或描述信息有限。","JavaScript","1","5","False","2022-07-12T23:31:11Z","2023-05-15T13:11:33Z","2022-08-04T07:15:31Z",""
"T3A2Group/server","https://github.com/T3A2Group/server","Tasmania Resort MERN Project Back-end","塔斯马尼亚度假村 MERN 项目的后端代码。","其他 Tasmania 相关","与 Tasmania 有一定关系，建议结合 README 再判断具体价值。 描述信息较少或主题较边缘，可放在后面查看。","低","1","可以确认有塔州关联，但项目主题较泛或描述信息有限。","JavaScript","0","4","False","2022-07-12T23:43:56Z","2022-08-02T00:53:30Z","2022-08-04T07:19:06Z",""
"TrustEval/CoTrRank_Trust_Evaluation","https://github.com/TrustEval/CoTrRank_Trust_Evaluation","This Git repository consists of the Tasmania Twitter dataset used in the paper CoTrRank: Trust Evaluation of Users and Tweets","论文使用的塔斯马尼亚 Twitter 数据集与信任评估代码。","其他 Tasmania 相关","与 Tasmania 有一定关系，建议结合 README 再判断具体价值。 描述信息较少或主题较边缘，可放在后面查看。","低","1","可以确认有塔州关联，但项目主题较泛或描述信息有限。","","4","4","False","2020-07-14T09:38:31Z","2024-09-24T11:32:31Z","2020-07-14T10:36:35Z",""
"ozjimbob/ecbtools","https://github.com/ozjimbob/ecbtools","R tools developed by the University of Tasmania Environmental Change Biology lab.","塔斯马尼亚大学环境变化生物学实验室开发的 R 工具。","UTAS/教育/课程","适合了解塔斯马尼亚大学相关课程、模板、学生项目或研究代码。 可作为第二梯队资料查看。","中","3","与塔斯马尼亚大学相关，若关注本地教育/研究网络有参考价值。","R","2","2","False","2013-09-03T01:58:43Z","2021-01-17T20:26:28Z","2021-01-17T20:26:26Z",""
"admiraldolphin/govhack2013","https://github.com/admiraldolphin/govhack2013","Admiral Dolphin (Team Lion) from GovHack 2013 (Tasmania)","塔斯马尼亚 GovHack 竞赛项目。","政府/公共服务/开放数据","适合追踪塔州公共数据、政府服务、交通、消防、能源或地方议会信息。 相关性高，建议优先打开核查。","高","4","项目内容与塔州研究、数据或公共信息高度相关。","Python","1","2","False","2013-05-31T11:44:31Z","2023-04-09T23:58:41Z","2013-06-02T06:41:31Z",""
"jbkajtar/sst_tasmania","https://github.com/jbkajtar/sst_tasmania","Code for processing Tasmanian region sea surface temperature from observational and CMIP6 data. Generated for Kajtar and Holbrook (2021): http://ecite.utas.edu.au/147866 and Kajtar et al. (2024): https://doi.org/10.1007/s10584-024-03684-8","处理塔斯马尼亚周边海域海表温度观测和气候模型数据的代码。","UTAS/教育/课程","适合了解塔斯马尼亚大学相关课程、模板、学生项目或研究代码。 相关性高，建议优先打开核查。","高","5","主题直接指向塔斯马尼亚地点、机构、数据或物种，优先查看。","MATLAB","3","0","False","2021-10-14T03:28:45Z","2024-02-06T12:07:12Z","2024-02-06T12:06:12Z","climate;cmip6;marine-heatwaves;noaa"
"cpunj/CitizenTas","https://github.com/cpunj/CitizenTas","Citizen Tasmania App","Citizen Tasmania 应用项目。","其他 Tasmania 相关","与 Tasmania 有一定关系，建议结合 README 再判断具体价值。 描述信息较少或主题较边缘，可放在后面查看。","低","1","可以确认有塔州关联，但项目主题较泛或描述信息有限。","Dart","2","0","False","2020-04-21T22:55:30Z","2020-04-27T06:55:53Z","2020-04-22T00:41:01Z",""
"stuarta0/launceston-3d","https://github.com/stuarta0/launceston-3d","Open license city-scale LIDAR scan of Launceston, Tasmania, AU","塔斯马尼亚朗塞斯顿城市尺度开放许可 LIDAR/三维扫描数据项目。","地图/GIS/空间数据","适合作为塔州地图、地理边界、空间可视化或位置数据线索。 相关性高，建议优先打开核查。","高","5","主题直接指向塔斯马尼亚地点、机构、数据或物种，优先查看。","","5","1","False","2020-12-19T00:52:24Z","2025-03-25T16:05:19Z","2020-12-19T09:33:28Z",""
"SeaShadow/LaTeX-AMC-PhD-Thesis-Template","https://github.com/SeaShadow/LaTeX-AMC-PhD-Thesis-Template","LaTeX thesis template for postgraduate, Master or PhD theses. The LaTeX thesis template is based on current University of Tasmania (UTas) thesis guidelines. The thesis template is currently demonstrated for for Australian Maritime College, National Centre for Maritime Engineering & Hydrodynamics (NCMEH) PhD theses where AMC is a  specialised department of the University of Tasmania (UTas).","塔斯马尼亚大学或其相关学院的论文/学位论文 LaTeX 模板。","UTAS/教育/课程","适合了解塔斯马尼亚大学相关课程、模板、学生项目或研究代码。 可作为第二梯队资料查看。","中","3","与塔斯马尼亚大学相关，若关注本地教育/研究网络有参考价值。","TeX","4","3","False","2015-08-16T07:23:21Z","2025-01-26T10:12:10Z","2020-07-08T03:38:30Z",""
"utasanalytics/utas-analytics","https://github.com/utasanalytics/utas-analytics","University of Tasmania, Student Project","塔斯马尼亚大学课程、学生项目、作业或研究代码。","UTAS/教育/课程","适合了解塔斯马尼亚大学相关课程、模板、学生项目或研究代码。 可作为第二梯队资料查看。","中","3","与塔斯马尼亚大学相关，若关注本地教育/研究网络有参考价值。","PHP","2","0","False","2019-04-13T00:55:53Z","2019-05-28T09:28:39Z","2019-05-28T09:28:37Z",""
"43South/tasmaniada","https://github.com/43South/tasmaniada","scrapers for Tasmanian councils for planningalerts.org.au","抓取塔斯马尼亚地方议会规划申请数据的项目。","政府/公共服务/开放数据","适合追踪塔州公共数据、政府服务、交通、消防、能源或地方议会信息。 相关性高，建议优先打开核查。","高","5","主题直接指向塔斯马尼亚地点、机构、数据或物种，优先查看。","Python","2","1","False","2021-09-18T08:21:14Z","2024-03-21T01:19:13Z","2021-10-01T08:32:33Z",""
"mdsumner/tasmapr","https://github.com/mdsumner/tasmapr","Get Tasmania map server layers via mapview","通过 R/mapview 获取塔斯马尼亚地图服务器图层的工具。","地图/GIS/空间数据","适合作为塔州地图、地理边界、空间可视化或位置数据线索。 相关性高，建议优先打开核查。","高","4","项目内容与塔州研究、数据或公共信息高度相关。","R","2","1","False","2017-06-08T14:23:07Z","2019-11-14T02:15:13Z","2019-11-14T02:15:11Z",""
"willemolding/penguin-tracks-vis","https://github.com/willemolding/penguin-tracks-vis","A visualisation of Little Penguin feeding behaviour in southern Tasmania","展示塔斯马尼亚南部小企鹅觅食行为或相关生态数据的可视化项目。","生态/气候/物种研究","适合关注塔州生态、气候、海洋、森林或本土物种研究。 相关性高，建议优先打开核查。","高","5","主题直接指向塔斯马尼亚地点、机构、数据或物种，优先查看。","JavaScript","3","0","False","2016-02-15T04:10:15Z","2016-11-08T11:14:53Z","2016-03-02T00:48:35Z",""
"kaseykhanhpham/eucalyptus-hybrid-resequencing","https://github.com/kaseykhanhpham/eucalyptus-hybrid-resequencing","Pipeline for analysis of project resequencing introgressant Eucalyptus globulus and Eucalyptus cordata in Tasmania","分析塔斯马尼亚桉树相关基因组/重测序数据的研究流水线。","生态/气候/物种研究","适合关注塔州生态、气候、海洋、森林或本土物种研究。 相关性高，建议优先打开核查。","高","4","项目内容与塔州研究、数据或公共信息高度相关。","Shell","5","0","False","2022-05-28T02:34:10Z","2026-02-08T02:26:14Z","2026-02-08T02:26:10Z",""
"FCMAP/qgis2web_2024_03_29-12_15_36_411992","https://github.com/FCMAP/qgis2web_2024_03_29-12_15_36_411992","tasmania_test","塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。","地图/GIS/空间数据","适合作为塔州地图、地理边界、空间可视化或位置数据线索。 相关性高，建议优先打开核查。","高","4","项目内容与塔州研究、数据或公共信息高度相关。","JavaScript","0","0","False","2024-03-29T11:29:09Z","2024-03-29T12:54:43Z","2024-03-29T11:43:42Z",""
"fredpaw/tasmania","https://github.com/fredpaw/tasmania","tasmania website","与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。","其他 Tasmania 相关","与 Tasmania 有一定关系，建议结合 README 再判断具体价值。 描述信息较少或主题较边缘，可放在后面查看。","低","1","可以确认有塔州关联，但项目主题较泛或描述信息有限。","PHP","0","0","False","2015-08-28T04:07:51Z","2016-08-30T06:35:19Z","2016-09-02T05:51:20Z",""
"TheDarkPanther/TasmaniaMap","https://github.com/TheDarkPanther/TasmaniaMap","Tasmania map 1:40 scale","塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。","地图/GIS/空间数据","适合作为塔州地图、地理边界、空间可视化或位置数据线索。 相关性高，建议优先打开核查。","高","4","项目内容与塔州研究、数据或公共信息高度相关。","","0","0","False","2025-03-12T23:54:50Z","2025-03-12T23:54:54Z","2025-03-12T23:54:51Z",""
"dentalimplanttasmania/dental-implants-tasmania12","https://github.com/dentalimplanttasmania/dental-implants-tasmania12","","原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。","本地商业/生活服务","适合了解塔州本地商业/生活服务案例，但一般不是核心技术项目。 可作为第二梯队资料查看。","中","2","与塔州本地服务或商业相关，但技术/数据价值通常较弱。","HTML","0","0","False","2025-08-30T10:39:37Z","2025-08-30T10:40:50Z","2025-08-30T10:40:47Z",""
"nickfountainjones/PracticalsKPZ312","https://github.com/nickfountainjones/PracticalsKPZ312","R code and vignettes for Research Methods in Biology KPZ312 at the University of Tasmania","塔斯马尼亚大学课程、学生项目、作业或研究代码。","UTAS/教育/课程","适合了解塔斯马尼亚大学相关课程、模板、学生项目或研究代码。 可作为第二梯队资料查看。","中","3","与塔斯马尼亚大学相关，若关注本地教育/研究网络有参考价值。","","0","2","False","2020-03-01T23:33:26Z","2020-03-09T22:15:31Z","2020-03-09T22:15:30Z",""
"LeLeGazze/Tasmania","https://github.com/LeLeGazze/Tasmania","An Assignment of Tasmania.","与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。","其他 Tasmania 相关","与 Tasmania 有一定关系，建议结合 README 再判断具体价值。 描述信息较少或主题较边缘，可放在后面查看。","低","1","可以确认有塔州关联，但项目主题较泛或描述信息有限。","HTML","0","0","False","2026-04-28T06:22:53Z","2026-04-28T10:47:24Z","2026-04-28T10:47:20Z",""
"HammerOfMelkor/TasmanianHighlandsGolfClub","https://github.com/HammerOfMelkor/TasmanianHighlandsGolfClub","","原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。","其他 Tasmania 相关","与 Tasmania 有一定关系，建议结合 README 再判断具体价值。 描述信息较少或主题较边缘，可放在后面查看。","低","1","可以确认有塔州关联，但项目主题较泛或描述信息有限。","HTML","0","0","False","2023-09-14T06:32:47Z","2024-11-19T01:23:27Z","2024-11-19T01:23:23Z",""
"justinmathias/TasmaniaVegetation","https://github.com/justinmathias/TasmaniaVegetation","","原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。","其他 Tasmania 相关","与 Tasmania 有一定关系，建议结合 README 再判断具体价值。 描述信息较少或主题较边缘，可放在后面查看。","低","1","可以确认有塔州关联，但项目主题较泛或描述信息有限。","R","0","0","False","2023-02-23T04:40:36Z","2023-02-23T04:43:32Z","2023-05-23T18:23:05Z",""
"namedummy568-stack/TasmanianMarineData","https://github.com/namedummy568-stack/TasmanianMarineData","Marine data for Tasmania, including cetacean sightings.","塔斯马尼亚生态、气候、海洋、森林或本土物种相关研究项目。","生态/气候/物种研究","适合关注塔州生态、气候、海洋、森林或本土物种研究。 相关性高，建议优先打开核查。","高","4","项目内容与塔州研究、数据或公共信息高度相关。","","0","0","False","2025-09-22T07:26:28Z","2025-09-22T07:26:29Z","2025-09-22T07:26:29Z",""
"JorgeRodriguezGonzalez/tasmania-roofing","https://github.com/JorgeRodriguezGonzalez/tasmania-roofing","tasmania roofing website","塔斯马尼亚本地商业、生活服务或市场类项目。","本地商业/生活服务","适合了解塔州本地商业/生活服务案例，但一般不是核心技术项目。 可作为第二梯队资料查看。","中","2","与塔州本地服务或商业相关，但技术/数据价值通常较弱。","","0","0","False","2025-10-24T03:43:12Z","2025-10-24T03:43:12Z","2025-10-24T03:43:12Z",""
"dentalimplanttasmania/dental-implants-tasmania1","https://github.com/dentalimplanttasmania/dental-implants-tasmania1","","原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。","本地商业/生活服务","适合了解塔州本地商业/生活服务案例，但一般不是核心技术项目。 可作为第二梯队资料查看。","中","2","与塔州本地服务或商业相关，但技术/数据价值通常较弱。","HTML","0","0","False","2025-09-25T05:38:19Z","2025-09-25T05:38:58Z","2025-09-25T05:38:54Z",""
"pam-ai-coder/tasmania","https://github.com/pam-ai-coder/tasmania","7 days Overland Track","塔斯马尼亚 Overland Track 徒步路线/行程规划项目。","旅游/地方体验","适合了解塔州旅行、目的地、路线、活动或地方体验类应用。 相关性高，建议优先打开核查。","高","5","主题直接指向塔斯马尼亚地点、机构、数据或物种，优先查看。","HTML","0","0","False","2026-03-28T04:58:44Z","2026-03-28T05:43:27Z","2026-03-28T05:43:24Z",""
"web-helper/quit-tasmania","https://github.com/web-helper/quit-tasmania","Quit Tasmania Project","与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。","其他 Tasmania 相关","与 Tasmania 有一定关系，建议结合 README 再判断具体价值。 描述信息较少或主题较边缘，可放在后面查看。","低","1","可以确认有塔州关联，但项目主题较泛或描述信息有限。","PHP","0","0","False","2019-08-22T01:11:35Z","2019-09-10T08:10:41Z","2019-08-19T08:41:31Z",""
"alexanderhayward1995/Soundbites-tas","https://github.com/alexanderhayward1995/Soundbites-tas","Soundbites rockin' Tasmania! ","与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。","其他 Tasmania 相关","与 Tasmania 有一定关系，建议结合 README 再判断具体价值。 描述信息较少或主题较边缘，可放在后面查看。","低","1","可以确认有塔州关联，但项目主题较泛或描述信息有限。","HTML","0","0","False","2026-04-13T13:34:37Z","2026-04-14T07:10:41Z","2026-04-14T07:10:37Z",""
"Eric0420/TSG","https://github.com/Eric0420/TSG","Tasmania Shopping Guide","塔斯马尼亚本地商业、生活服务或市场类项目。","本地商业/生活服务","适合了解塔州本地商业/生活服务案例，但一般不是核心技术项目。 可作为第二梯队资料查看。","中","2","与塔州本地服务或商业相关，但技术/数据价值通常较弱。","Kotlin","0","0","False","2022-05-04T13:57:25Z","2022-05-04T14:46:59Z","2022-10-02T00:49:21Z",""
"tfsbrigades/Tasmania-brigades","https://github.com/tfsbrigades/Tasmania-brigades","Tasmania TFS brigades","塔斯马尼亚政府、公共服务、开放数据或地方议会信息项目。","政府/公共服务/开放数据","适合追踪塔州公共数据、政府服务、交通、消防、能源或地方议会信息。 相关性高，建议优先打开核查。","高","4","项目内容与塔州研究、数据或公共信息高度相关。","HTML","0","0","False","2025-08-16T02:08:06Z","2025-08-16T04:51:24Z","2025-08-16T04:51:20Z",""
"stanley0212/TasEats","https://github.com/stanley0212/TasEats","Tasmania food delivery","面向塔斯马尼亚的外卖/餐饮配送应用项目。","本地商业/生活服务","适合了解塔州本地商业/生活服务案例，但一般不是核心技术项目。 可作为第二梯队资料查看。","中","2","与塔州本地服务或商业相关，但技术/数据价值通常较弱。","Java","0","0","False","2021-04-03T14:11:54Z","2022-05-09T12:21:56Z","2022-05-09T12:21:52Z",""
"mdsumner/applemile","https://github.com/mdsumner/applemile","Tasmania the spatial state","塔斯马尼亚相关地图、GIS、空间数据或地理可视化项目。","地图/GIS/空间数据","适合作为塔州地图、地理边界、空间可视化或位置数据线索。 相关性高，建议优先打开核查。","高","4","项目内容与塔州研究、数据或公共信息高度相关。","HTML","0","0","False","2017-07-29T10:37:20Z","2017-07-29T10:41:18Z","2017-07-29T10:41:16Z",""
"vanDemonian/TAS_data","https://github.com/vanDemonian/TAS_data","Tasmania specific data sets","塔斯马尼亚专用数据集。","其他 Tasmania 相关","与 Tasmania 有一定关系，建议结合 README 再判断具体价值。 相关性高，建议优先打开核查。","高","5","主题直接指向塔斯马尼亚地点、机构、数据或物种，优先查看。","","0","0","False","2016-06-28T05:09:07Z","2021-12-02T10:21:45Z","2016-09-20T03:14:22Z",""
"darkmovertas/tas-motorcycle-dkt","https://github.com/darkmovertas/tas-motorcycle-dkt","Tasmania Motorcycle Practice DKT","塔斯马尼亚摩托车驾驶知识测试练习项目。","其他 Tasmania 相关","与 Tasmania 有一定关系，建议结合 README 再判断具体价值。 描述信息较少或主题较边缘，可放在后面查看。","低","1","可以确认有塔州关联，但项目主题较泛或描述信息有限。","HTML","0","0","False","2026-04-03T22:10:05Z","2026-04-14T08:57:13Z","2026-04-14T08:57:10Z",""
"prameshKc/Total-Hair-Beauty-Tasmania","https://github.com/prameshKc/Total-Hair-Beauty-Tasmania","Total Hair & Beauty Tasmania","与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。","其他 Tasmania 相关","与 Tasmania 有一定关系，建议结合 README 再判断具体价值。 描述信息较少或主题较边缘，可放在后面查看。","低","1","可以确认有塔州关联，但项目主题较泛或描述信息有限。","TypeScript","0","0","False","2026-01-04T08:38:20Z","2026-01-04T08:38:42Z","2026-01-04T08:38:39Z",""
"tinnamchoi/hare-clark-cpp","https://github.com/tinnamchoi/hare-clark-cpp","C++ library for an electoral system used in Tasmania and the Australian Capital Territory","实现塔斯马尼亚和澳大利亚首都领地使用的 Hare-Clark 选举制度的 C++ 库。","其他 Tasmania 相关","与 Tasmania 有一定关系，建议结合 README 再判断具体价值。 描述信息较少或主题较边缘，可放在后面查看。","低","1","可以确认有塔州关联，但项目主题较泛或描述信息有限。","C++","3","0","False","2024-03-13T10:35:54Z","2024-10-15T19:14:10Z","2024-10-15T19:14:07Z","cpp;electoral-systems;hare-clark;library;voting-system"
"Veryboredcat/tasmanianwildcall","https://github.com/Veryboredcat/tasmanianwildcall","files for the website","与塔斯马尼亚有关的资料、应用或网站项目；原始描述较简略，建议打开 README 进一步确认。","其他 Tasmania 相关","与 Tasmania 有一定关系，建议结合 README 再判断具体价值。 描述信息较少或主题较边缘，可放在后面查看。","低","1","可以确认有塔州关联，但项目主题较泛或描述信息有限。","HTML","0","0","False","2025-06-02T21:50:07Z","2025-06-02T21:54:55Z","2025-06-02T21:54:52Z",""
"LNSOTOM/forestGISML","https://github.com/LNSOTOM/forestGISML","Supervised machine learning for predicting and interpreting dynamic drivers of plantation forest productivity in northern Tasmania, Australia","使用监督式机器学习分析塔斯马尼亚北部人工林生产力驱动因素的项目。","地图/GIS/空间数据","适合作为塔州地图、地理边界、空间可视化或位置数据线索。 相关性高，建议优先打开核查。","高","5","主题直接指向塔斯马尼亚地点、机构、数据或物种，优先查看。","Python","4","1","False","2020-09-03T00:43:52Z","2024-11-24T06:53:59Z","2023-04-17T04:18:09Z","geopandas;lime;machine-learning-algorithms;numpy;pysal;python3;scikit-learn;scikitlearn-machine-learning;scipy"
"DamienIrving/hydrotas","https://github.com/DamienIrving/hydrotas","UNSEEN analysis for Hydro Tasmania","与 Hydro Tasmania 水电、水库或水文数据相关的数据处理/可视化项目。","政府/公共服务/开放数据","适合追踪塔州公共数据、政府服务、交通、消防、能源或地方议会信息。 相关性高，建议优先打开核查。","高","5","主题直接指向塔斯马尼亚地点、机构、数据或物种，优先查看。","Jupyter Notebook","0","0","False","2023-04-04T07:19:45Z","2023-04-05T04:53:21Z","2023-05-04T22:28:58Z",""
"mave1/KIT301---Mapping-Crime-Walks","https://github.com/mave1/KIT301---Mapping-Crime-Walks","An app to take tourists on crime walks of Tasmania","面向游客的塔斯马尼亚犯罪历史步行路线应用。","UTAS/教育/课程","适合了解塔斯马尼亚大学相关课程、模板、学生项目或研究代码。 可作为第二梯队资料查看。","中","3","与塔斯马尼亚大学相关，若关注本地教育/研究网络有参考价值。","Dart","2","0","False","2024-03-06T10:43:48Z","2025-09-17T01:43:38Z","2024-10-30T05:07:05Z",""
"travelens/tasmania-2018","https://github.com/travelens/tasmania-2018","Tasmania Spring 2018 trip to Hobart and Freycinet","塔斯马尼亚旅游、住宿、行程或目的地展示项目。","旅游/地方体验","适合了解塔州旅行、目的地、路线、活动或地方体验类应用。 可作为第二梯队资料查看。","中","3","与塔州主题明确相关，但更偏内容展示、旅行记录或文化资料。","Astro","0","0","False","2023-04-10T07:14:19Z","2025-03-04T04:23:48Z","2025-03-04T04:23:42Z",""
"disclosurelogs/au-tas-register-of-lobbyists","https://github.com/disclosurelogs/au-tas-register-of-lobbyists","Tasmania Register of Lobbyists","塔斯马尼亚游说者登记册数据项目。","地图/GIS/空间数据","适合作为塔州地图、地理边界、空间可视化或位置数据线索。 相关性高，建议优先打开核查。","高","4","项目内容与塔州研究、数据或公共信息高度相关。","Ruby","0","0","False","2014-02-18T08:17:20Z","2015-09-02T08:25:21Z","2016-01-04T10:18:43Z",""
"travistyzero/hydro-web","https://github.com/travistyzero/hydro-web","Visualise Hydro Tasmania Dam Levels ","与 Hydro Tasmania 水电、水库或水文数据相关的数据处理/可视化项目。","政府/公共服务/开放数据","适合追踪塔州公共数据、政府服务、交通、消防、能源或地方议会信息。 相关性高，建议优先打开核查。","高","5","主题直接指向塔斯马尼亚地点、机构、数据或物种，优先查看。","JavaScript","0","0","False","2016-04-13T04:14:29Z","2016-04-13T04:14:46Z","2016-05-03T00:47:15Z",""
"Bigben83/tasmanian_planbuild","https://github.com/Bigben83/tasmanian_planbuild","Tasmania LGA's using Planbuild","与塔斯马尼亚地方政府 PlanBuild/规划系统相关的项目。","政府/公共服务/开放数据","适合追踪塔州公共数据、政府服务、交通、消防、能源或地方议会信息。 相关性高，建议优先打开核查。","高","4","项目内容与塔州研究、数据或公共信息高度相关。","Ruby","0","0","False","2025-08-05T04:03:19Z","2025-08-06T21:53:07Z","2025-08-06T21:53:04Z",""
"prameshKc/NEST","https://github.com/prameshKc/NEST","Nepali Society Of Tasmania","塔斯马尼亚尼泊尔社区组织相关项目。","其他 Tasmania 相关","与 Tasmania 有一定关系，建议结合 README 再判断具体价值。 描述信息较少或主题较边缘，可放在后面查看。","低","1","可以确认有塔州关联，但项目主题较泛或描述信息有限。","TypeScript","0","0","False","2025-08-12T11:44:08Z","2025-08-12T11:51:04Z","2025-08-12T11:51:01Z",""
"kasun1986/project-A","https://github.com/kasun1986/project-A","project files university of Tasmania","塔斯马尼亚大学课程、学生项目、作业或研究代码。","UTAS/教育/课程","适合了解塔斯马尼亚大学相关课程、模板、学生项目或研究代码。 可作为第二梯队资料查看。","中","3","与塔斯马尼亚大学相关，若关注本地教育/研究网络有参考价值。","","0","0","False","2023-08-24T10:27:23Z","2023-08-24T10:27:23Z","2023-08-24T10:34:14Z",""
"FerdianFy13/Tasmanian-Devil","https://github.com/FerdianFy13/Tasmanian-Devil","Tasmanian Devil Information website","围绕塔斯马尼亚袋獾、袋獾面部肿瘤病或相关生态建模/识别的项目。","生态/气候/物种研究","适合关注塔州生态、气候、海洋、森林或本土物种研究。 相关性高，建议优先打开核查。","高","5","主题直接指向塔斯马尼亚地点、机构、数据或物种，优先查看。","SCSS","1","0","False","2022-11-14T01:39:55Z","2023-03-07T03:31:42Z","2022-11-29T03:24:28Z",""
"siskavera/tasmanian-devil","https://github.com/siskavera/tasmanian-devil","Spatially explicit, individual-based framework to model the spread of DFTD in Tasmania","围绕塔斯马尼亚袋獾、袋獾面部肿瘤病或相关生态建模/识别的项目。","地图/GIS/空间数据","适合作为塔州地图、地理边界、空间可视化或位置数据线索。 相关性高，建议优先打开核查。","高","4","项目内容与塔州研究、数据或公共信息高度相关。","Matlab","1","0","False","2017-09-25T08:56:59Z","2021-02-05T09:19:12Z","2018-02-21T14:31:00Z",""
"markoinh/Roam-Tasmania","https://github.com/markoinh/Roam-Tasmania","","原始描述为空；根据仓库名判断，可能是塔斯马尼亚相关资料、网站或应用项目。","其他 Tasmania 相关","与 Tasmania 有一定关系，建议结合 README 再判断具体价值。 描述信息较少或主题较边缘，可放在后面查看。","低","1","可以确认有塔州关联，但项目主题较泛或描述信息有限。","HTML","0","0","False","2026-04-18T10:34:47Z","2026-04-18T10:37:12Z","2026-04-18T10:37:04Z",""
