source,target,relation
repo:yatian-skyler-li/GEE_LandcoverClassify,org:yatian-skyler-li,OWNED_BY
repo:yatian-skyler-li/GEE_LandcoverClassify,language:JavaScript,USES_LANGUAGE
repo:yatian-skyler-li/GEE_LandcoverClassify,domain:AI / Machine Learning,IN_DOMAIN
repo:yatian-skyler-li/GEE_LandcoverClassify,cluster:AI/Data,RELATED_TO
repo:yatian-skyler-li/GEE_LandcoverClassify,cluster:GIS,RELATED_TO
repo:ziogref/TAS-Fuel-HA-Intergration,org:ziogref,OWNED_BY
repo:ziogref/TAS-Fuel-HA-Intergration,language:Python,USES_LANGUAGE
repo:ziogref/TAS-Fuel-HA-Intergration,domain:Government / Public Data,IN_DOMAIN
repo:ziogref/TAS-Fuel-HA-Intergration,topic:api,HAS_TOPIC
repo:ziogref/TAS-Fuel-HA-Intergration,topic:australia,HAS_TOPIC
repo:ziogref/TAS-Fuel-HA-Intergration,topic:hacs-integration,HAS_TOPIC
repo:ziogref/TAS-Fuel-HA-Intergration,topic:home-assistant,HAS_TOPIC
repo:ziogref/TAS-Fuel-HA-Intergration,cluster:AI/Data,RELATED_TO
repo:Racheloise/climatic-benthic-chronicles,org:Racheloise,OWNED_BY
repo:Racheloise/climatic-benthic-chronicles,language:Unknown,USES_LANGUAGE
repo:Racheloise/climatic-benthic-chronicles,domain:AI / Machine Learning,IN_DOMAIN
repo:Racheloise/climatic-benthic-chronicles,cluster:AI/Data,RELATED_TO
repo:GetBack2Basics/TripCrafter,org:GetBack2Basics,OWNED_BY
repo:GetBack2Basics/TripCrafter,language:JavaScript,USES_LANGUAGE
repo:GetBack2Basics/TripCrafter,domain:AI / Machine Learning,IN_DOMAIN
repo:GetBack2Basics/TripCrafter,topic:ai,HAS_TOPIC
repo:GetBack2Basics/TripCrafter,topic:map,HAS_TOPIC
repo:GetBack2Basics/TripCrafter,topic:travel,HAS_TOPIC
repo:GetBack2Basics/TripCrafter,topic:travel-app,HAS_TOPIC
repo:GetBack2Basics/TripCrafter,cluster:AI/Data,RELATED_TO
repo:GetBack2Basics/TripCrafter,cluster:GIS,RELATED_TO
repo:botheredbybees/huon-channel-marine-analytics,org:botheredbybees,OWNED_BY
repo:botheredbybees/huon-channel-marine-analytics,language:Python,USES_LANGUAGE
repo:botheredbybees/huon-channel-marine-analytics,domain:GIS / Geography,IN_DOMAIN
repo:botheredbybees/huon-channel-marine-analytics,cluster:AI/Data,RELATED_TO
repo:botheredbybees/huon-channel-marine-analytics,cluster:GIS,RELATED_TO
repo:NicholasCluff/nullmaps,org:NicholasCluff,OWNED_BY
repo:NicholasCluff/nullmaps,language:Svelte,USES_LANGUAGE
repo:NicholasCluff/nullmaps,domain:AI / Machine Learning,IN_DOMAIN
repo:NicholasCluff/nullmaps,cluster:AI/Data,RELATED_TO
repo:NicholasCluff/nullmaps,cluster:GIS,RELATED_TO
repo:Atlantis-Ecosystem-Model/South_East_Tasmania_model,org:Atlantis-Ecosystem-Model,OWNED_BY
repo:Atlantis-Ecosystem-Model/South_East_Tasmania_model,language:TypeScript,USES_LANGUAGE
repo:Atlantis-Ecosystem-Model/South_East_Tasmania_model,domain:Data Analysis,IN_DOMAIN
repo:Atlantis-Ecosystem-Model/South_East_Tasmania_model,cluster:AI/Data,RELATED_TO
repo:arashsm79/tasmanian-devil-gene-enrichment-analysis,org:arashsm79,OWNED_BY
repo:arashsm79/tasmanian-devil-gene-enrichment-analysis,language:TeX,USES_LANGUAGE
repo:arashsm79/tasmanian-devil-gene-enrichment-analysis,domain:AI / Machine Learning,IN_DOMAIN
repo:arashsm79/tasmanian-devil-gene-enrichment-analysis,topic:bioinformatics,HAS_TOPIC
repo:arashsm79/tasmanian-devil-gene-enrichment-analysis,topic:cancer,HAS_TOPIC
repo:arashsm79/tasmanian-devil-gene-enrichment-analysis,topic:edaseq,HAS_TOPIC
repo:arashsm79/tasmanian-devil-gene-enrichment-analysis,topic:edger,HAS_TOPIC
repo:arashsm79/tasmanian-devil-gene-enrichment-analysis,cluster:AI/Data,RELATED_TO
repo:bicycleboy/nsw_tas_fuel_station,org:bicycleboy,OWNED_BY
repo:bicycleboy/nsw_tas_fuel_station,language:Python,USES_LANGUAGE
repo:bicycleboy/nsw_tas_fuel_station,domain:Data Analysis,IN_DOMAIN
repo:bicycleboy/nsw_tas_fuel_station,topic:fuel-prices,HAS_TOPIC
repo:bicycleboy/nsw_tas_fuel_station,topic:hacs-integration,HAS_TOPIC
repo:bicycleboy/nsw_tas_fuel_station,topic:home-assistant,HAS_TOPIC
repo:bicycleboy/nsw_tas_fuel_station,topic:home-assistant-integration,HAS_TOPIC
repo:bicycleboy/nsw_tas_fuel_station,cluster:AI/Data,RELATED_TO
repo:mholling/nswtopo,org:mholling,OWNED_BY
repo:mholling/nswtopo,language:Ruby,USES_LANGUAGE
repo:mholling/nswtopo,domain:GIS / Geography,IN_DOMAIN
repo:mholling/nswtopo,cluster:GIS,RELATED_TO
repo:LNSOTOM/forestGISML,org:LNSOTOM,OWNED_BY
repo:LNSOTOM/forestGISML,language:Python,USES_LANGUAGE
repo:LNSOTOM/forestGISML,domain:AI / Machine Learning,IN_DOMAIN
repo:LNSOTOM/forestGISML,topic:geopandas,HAS_TOPIC
repo:LNSOTOM/forestGISML,topic:lime,HAS_TOPIC
repo:LNSOTOM/forestGISML,topic:machine-learning-algorithms,HAS_TOPIC
repo:LNSOTOM/forestGISML,topic:numpy,HAS_TOPIC
repo:LNSOTOM/forestGISML,cluster:AI/Data,RELATED_TO
repo:LNSOTOM/forestGISML,cluster:GIS,RELATED_TO
repo:jbkajtar/sst_tasmania,org:jbkajtar,OWNED_BY
repo:jbkajtar/sst_tasmania,language:MATLAB,USES_LANGUAGE
repo:jbkajtar/sst_tasmania,domain:Marine Science,IN_DOMAIN
repo:jbkajtar/sst_tasmania,topic:climate,HAS_TOPIC
repo:jbkajtar/sst_tasmania,topic:cmip6,HAS_TOPIC
repo:jbkajtar/sst_tasmania,topic:marine-heatwaves,HAS_TOPIC
repo:jbkajtar/sst_tasmania,topic:noaa,HAS_TOPIC
repo:jbkajtar/sst_tasmania,cluster:UTAS,RELATED_TO
repo:vinmasci/lutruwita_map,org:vinmasci,OWNED_BY
repo:vinmasci/lutruwita_map,language:TypeScript,USES_LANGUAGE
repo:vinmasci/lutruwita_map,domain:GIS / Geography,IN_DOMAIN
repo:vinmasci/lutruwita_map,cluster:GIS,RELATED_TO
repo:LamuelCH/spOccupancy_TAS,org:LamuelCH,OWNED_BY
repo:LamuelCH/spOccupancy_TAS,language:Unknown,USES_LANGUAGE
repo:LamuelCH/spOccupancy_TAS,domain:GIS / Geography,IN_DOMAIN
repo:LamuelCH/spOccupancy_TAS,cluster:AI/Data,RELATED_TO
repo:LamuelCH/spOccupancy_TAS,cluster:GIS,RELATED_TO
repo:DPIPWE/LIST_Tools_Pro_At_3_Addin,org:DPIPWE,OWNED_BY
repo:DPIPWE/LIST_Tools_Pro_At_3_Addin,language:Unknown,USES_LANGUAGE
repo:DPIPWE/LIST_Tools_Pro_At_3_Addin,domain:GIS / Geography,IN_DOMAIN
repo:DPIPWE/LIST_Tools_Pro_At_3_Addin,cluster:GIS,RELATED_TO
repo:vinmasci/Lutruwita_Way,org:vinmasci,OWNED_BY
repo:vinmasci/Lutruwita_Way,language:Unknown,USES_LANGUAGE
repo:vinmasci/Lutruwita_Way,domain:GIS / Geography,IN_DOMAIN
repo:vinmasci/Lutruwita_Way,cluster:GIS,RELATED_TO
repo:pam-ai-coder/tasmania,org:pam-ai-coder,OWNED_BY
repo:pam-ai-coder/tasmania,language:HTML,USES_LANGUAGE
repo:pam-ai-coder/tasmania,domain:AI / Machine Learning,IN_DOMAIN
repo:pam-ai-coder/tasmania,cluster:AI/Data,RELATED_TO
repo:cjabradshaw/devilpopmodel,org:cjabradshaw,OWNED_BY
repo:cjabradshaw/devilpopmodel,language:MATLAB,USES_LANGUAGE
repo:cjabradshaw/devilpopmodel,domain:Data Analysis,IN_DOMAIN
repo:cjabradshaw/devilpopmodel,topic:cohort-based-model,HAS_TOPIC
repo:cjabradshaw/devilpopmodel,topic:dasyurid,HAS_TOPIC
repo:cjabradshaw/devilpopmodel,topic:dasyuridae,HAS_TOPIC
repo:cjabradshaw/devilpopmodel,topic:devil-facial-tumour-disease,HAS_TOPIC
repo:cjabradshaw/devilpopmodel,cluster:AI/Data,RELATED_TO
repo:ozjimbob/ecbtools,org:ozjimbob,OWNED_BY
repo:ozjimbob/ecbtools,language:R,USES_LANGUAGE
repo:ozjimbob/ecbtools,domain:Data Analysis,IN_DOMAIN
repo:ozjimbob/ecbtools,cluster:UTAS,RELATED_TO
repo:ozjimbob/ecbtools,cluster:AI/Data,RELATED_TO
repo:mave1/KIT301---Mapping-Crime-Walks,org:mave1,OWNED_BY
repo:mave1/KIT301---Mapping-Crime-Walks,language:Dart,USES_LANGUAGE
repo:mave1/KIT301---Mapping-Crime-Walks,domain:GIS / Geography,IN_DOMAIN
repo:mave1/KIT301---Mapping-Crime-Walks,cluster:UTAS,RELATED_TO
repo:mave1/KIT301---Mapping-Crime-Walks,cluster:GIS,RELATED_TO
repo:UTAS-physics/KYA211,org:UTAS-physics,OWNED_BY
repo:UTAS-physics/KYA211,language:Jupyter Notebook,USES_LANGUAGE
repo:UTAS-physics/KYA211,domain:Data Analysis,IN_DOMAIN
repo:UTAS-physics/KYA211,cluster:UTAS,RELATED_TO
repo:UTAS-physics/KYA211,cluster:AI/Data,RELATED_TO
repo:kaseykhanhpham/eucalyptus-hybrid-resequencing,org:kaseykhanhpham,OWNED_BY
repo:kaseykhanhpham/eucalyptus-hybrid-resequencing,language:Shell,USES_LANGUAGE
repo:kaseykhanhpham/eucalyptus-hybrid-resequencing,domain:Data Analysis,IN_DOMAIN
repo:kaseykhanhpham/eucalyptus-hybrid-resequencing,cluster:AI/Data,RELATED_TO
repo:tinnamchoi/hare-clark-cpp,org:tinnamchoi,OWNED_BY
repo:tinnamchoi/hare-clark-cpp,language:C++,USES_LANGUAGE
repo:tinnamchoi/hare-clark-cpp,domain:Education / UTAS,IN_DOMAIN
repo:tinnamchoi/hare-clark-cpp,topic:cpp,HAS_TOPIC
repo:tinnamchoi/hare-clark-cpp,topic:electoral-systems,HAS_TOPIC
repo:tinnamchoi/hare-clark-cpp,topic:hare-clark,HAS_TOPIC
repo:tinnamchoi/hare-clark-cpp,topic:library,HAS_TOPIC
repo:tinnamchoi/hare-clark-cpp,cluster:UTAS,RELATED_TO
repo:tinnamchoi/hare-clark-cpp,cluster:AI/Data,RELATED_TO
repo:MetalOctopus/Tasmanian-Geology-Map-Downloader,org:MetalOctopus,OWNED_BY
repo:MetalOctopus/Tasmanian-Geology-Map-Downloader,language:Python,USES_LANGUAGE
repo:MetalOctopus/Tasmanian-Geology-Map-Downloader,domain:GIS / Geography,IN_DOMAIN
repo:MetalOctopus/Tasmanian-Geology-Map-Downloader,cluster:GIS,RELATED_TO
repo:Jonah-Wilbur/Tasmanian-devil-facial-tumour-disease-dynamics,org:Jonah-Wilbur,OWNED_BY
repo:Jonah-Wilbur/Tasmanian-devil-facial-tumour-disease-dynamics,language:Jupyter Notebook,USES_LANGUAGE
repo:Jonah-Wilbur/Tasmanian-devil-facial-tumour-disease-dynamics,domain:Data Analysis,IN_DOMAIN
repo:Jonah-Wilbur/Tasmanian-devil-facial-tumour-disease-dynamics,cluster:AI/Data,RELATED_TO
repo:DPIPWE/LIST_Tools_Pro_Addin,org:DPIPWE,OWNED_BY
repo:DPIPWE/LIST_Tools_Pro_Addin,language:Unknown,USES_LANGUAGE
repo:DPIPWE/LIST_Tools_Pro_Addin,domain:GIS / Geography,IN_DOMAIN
repo:DPIPWE/LIST_Tools_Pro_Addin,cluster:GIS,RELATED_TO
repo:cpunj/Gov_hack,org:cpunj,OWNED_BY
repo:cpunj/Gov_hack,language:Unknown,USES_LANGUAGE
repo:cpunj/Gov_hack,domain:Data Analysis,IN_DOMAIN
repo:cpunj/Gov_hack,cluster:AI/Data,RELATED_TO
repo:hastings-lab/tasmanian-devil-sei-models-teamawesome,org:hastings-lab,OWNED_BY
repo:hastings-lab/tasmanian-devil-sei-models-teamawesome,language:Unknown,USES_LANGUAGE
repo:hastings-lab/tasmanian-devil-sei-models-teamawesome,domain:Data Analysis,IN_DOMAIN
repo:hastings-lab/tasmanian-devil-sei-models-teamawesome,cluster:AI/Data,RELATED_TO
repo:JonathanHolvey/tastopo,org:JonathanHolvey,OWNED_BY
repo:JonathanHolvey/tastopo,language:Python,USES_LANGUAGE
repo:JonathanHolvey/tastopo,domain:GIS / Geography,IN_DOMAIN
repo:JonathanHolvey/tastopo,cluster:GIS,RELATED_TO
repo:SIDNut/nwrrr-waste-feed,org:SIDNut,OWNED_BY
repo:SIDNut/nwrrr-waste-feed,language:Python,USES_LANGUAGE
repo:SIDNut/nwrrr-waste-feed,domain:Government / Public Data,IN_DOMAIN
repo:dtcrompton/tasmania-deforestation-detection,org:dtcrompton,OWNED_BY
repo:dtcrompton/tasmania-deforestation-detection,language:Python,USES_LANGUAGE
repo:dtcrompton/tasmania-deforestation-detection,domain:AI / Machine Learning,IN_DOMAIN
repo:dtcrompton/tasmania-deforestation-detection,cluster:AI/Data,RELATED_TO
repo:FerdianFy13/Tasmanian-Devil,org:FerdianFy13,OWNED_BY
repo:FerdianFy13/Tasmanian-Devil,language:SCSS,USES_LANGUAGE
repo:FerdianFy13/Tasmanian-Devil,domain:Web / App,IN_DOMAIN
repo:sage3648/KIT305-Mobile-Application-Development,org:sage3648,OWNED_BY
repo:sage3648/KIT305-Mobile-Application-Development,language:Java,USES_LANGUAGE
repo:sage3648/KIT305-Mobile-Application-Development,domain:Data Analysis,IN_DOMAIN
repo:sage3648/KIT305-Mobile-Application-Development,cluster:UTAS,RELATED_TO
repo:sage3648/KIT305-Mobile-Application-Development,cluster:AI/Data,RELATED_TO
repo:NordicFlame/SimpleEcho,org:NordicFlame,OWNED_BY
repo:NordicFlame/SimpleEcho,language:Java,USES_LANGUAGE
repo:NordicFlame/SimpleEcho,domain:Data Analysis,IN_DOMAIN
repo:NordicFlame/SimpleEcho,cluster:UTAS,RELATED_TO
repo:NordicFlame/SimpleEcho,cluster:AI/Data,RELATED_TO
repo:danielmuar/EO_GEOM7001_PROJECT,org:danielmuar,OWNED_BY
repo:danielmuar/EO_GEOM7001_PROJECT,language:Jupyter Notebook,USES_LANGUAGE
repo:danielmuar/EO_GEOM7001_PROJECT,domain:AI / Machine Learning,IN_DOMAIN
repo:danielmuar/EO_GEOM7001_PROJECT,cluster:AI/Data,RELATED_TO
repo:siskavera/tasmanian-devil,org:siskavera,OWNED_BY
repo:siskavera/tasmanian-devil,language:Matlab,USES_LANGUAGE
repo:siskavera/tasmanian-devil,domain:GIS / Geography,IN_DOMAIN
repo:siskavera/tasmanian-devil,cluster:AI/Data,RELATED_TO
repo:siskavera/tasmanian-devil,cluster:GIS,RELATED_TO
repo:Jayden-Kearney/tasmania_species_app,org:Jayden-Kearney,OWNED_BY
repo:Jayden-Kearney/tasmania_species_app,language:HTML,USES_LANGUAGE
repo:Jayden-Kearney/tasmania_species_app,domain:Web / App,IN_DOMAIN
repo:kittoyeah/regionalmate,org:kittoyeah,OWNED_BY
repo:kittoyeah/regionalmate,language:HTML,USES_LANGUAGE
repo:kittoyeah/regionalmate,domain:Education / UTAS,IN_DOMAIN
repo:kittoyeah/regionalmate,cluster:UTAS,RELATED_TO
repo:willemolding/penguin-tracks-vis,org:willemolding,OWNED_BY
repo:willemolding/penguin-tracks-vis,language:JavaScript,USES_LANGUAGE
repo:willemolding/penguin-tracks-vis,domain:Marine Science,IN_DOMAIN
repo:willemolding/penguin-tracks-vis,cluster:AI/Data,RELATED_TO
repo:Ryan-Ashton/Identifying-Tasmanian-Tigers-CNN,org:Ryan-Ashton,OWNED_BY
repo:Ryan-Ashton/Identifying-Tasmanian-Tigers-CNN,language:Jupyter Notebook,USES_LANGUAGE
repo:Ryan-Ashton/Identifying-Tasmanian-Tigers-CNN,domain:AI / Machine Learning,IN_DOMAIN
repo:Ryan-Ashton/Identifying-Tasmanian-Tigers-CNN,cluster:AI/Data,RELATED_TO
repo:RobWilsonTas/Tas_Aspect_Dryness,org:RobWilsonTas,OWNED_BY
repo:RobWilsonTas/Tas_Aspect_Dryness,language:Python,USES_LANGUAGE
repo:RobWilsonTas/Tas_Aspect_Dryness,domain:Data Analysis,IN_DOMAIN
repo:RobWilsonTas/Tas_Aspect_Dryness,cluster:AI/Data,RELATED_TO
repo:maxfire2008/metrotas-cancellations-history,org:maxfire2008,OWNED_BY
repo:maxfire2008/metrotas-cancellations-history,language:HTML,USES_LANGUAGE
repo:maxfire2008/metrotas-cancellations-history,domain:Government / Public Data,IN_DOMAIN
repo:Bigben83/tasmanian_planbuild,org:Bigben83,OWNED_BY
repo:Bigben83/tasmanian_planbuild,language:Ruby,USES_LANGUAGE
repo:Bigben83/tasmanian_planbuild,domain:Data Analysis,IN_DOMAIN
repo:Bigben83/tasmanian_planbuild,cluster:AI/Data,RELATED_TO
repo:sylviapump/endemic-birds-of-tasmania,org:sylviapump,OWNED_BY
repo:sylviapump/endemic-birds-of-tasmania,language:Unknown,USES_LANGUAGE
repo:sylviapump/endemic-birds-of-tasmania,domain:Data Analysis,IN_DOMAIN
repo:sylviapump/endemic-birds-of-tasmania,cluster:AI/Data,RELATED_TO
repo:43South/tasmaniada,org:43South,OWNED_BY
repo:43South/tasmaniada,language:Python,USES_LANGUAGE
repo:43South/tasmaniada,domain:Data Analysis,IN_DOMAIN
repo:43South/tasmaniada,cluster:AI/Data,RELATED_TO
repo:DamienIrving/hydrotas,org:DamienIrving,OWNED_BY
repo:DamienIrving/hydrotas,language:Jupyter Notebook,USES_LANGUAGE
repo:DamienIrving/hydrotas,domain:Data Analysis,IN_DOMAIN
repo:DamienIrving/hydrotas,cluster:AI/Data,RELATED_TO
repo:TripMomentIntern/2026_Tasmania,org:TripMomentIntern,OWNED_BY
repo:TripMomentIntern/2026_Tasmania,language:HTML,USES_LANGUAGE
repo:TripMomentIntern/2026_Tasmania,domain:Web / App,IN_DOMAIN
repo:surveyreports/utas-spc,org:surveyreports,OWNED_BY
repo:surveyreports/utas-spc,language:HTML,USES_LANGUAGE
repo:surveyreports/utas-spc,domain:Data Analysis,IN_DOMAIN
repo:surveyreports/utas-spc,cluster:UTAS,RELATED_TO
repo:surveyreports/utas-spc,cluster:AI/Data,RELATED_TO
repo:giftfairy/Discover-George-Town,org:giftfairy,OWNED_BY
repo:giftfairy/Discover-George-Town,language:HTML,USES_LANGUAGE
repo:giftfairy/Discover-George-Town,domain:Web / App,IN_DOMAIN
repo:mdsumner/tasmapr,org:mdsumner,OWNED_BY
repo:mdsumner/tasmapr,language:R,USES_LANGUAGE
repo:mdsumner/tasmapr,domain:GIS / Geography,IN_DOMAIN
repo:mdsumner/tasmapr,cluster:GIS,RELATED_TO
repo:bluewingedsoul/EWE-MarinePredators-Tasmania,org:bluewingedsoul,OWNED_BY
repo:bluewingedsoul/EWE-MarinePredators-Tasmania,language:Unknown,USES_LANGUAGE
repo:bluewingedsoul/EWE-MarinePredators-Tasmania,domain:Marine Science,IN_DOMAIN
repo:ElijahCuff/Yellow-Pages-Scraper-Australia,org:ElijahCuff,OWNED_BY
repo:ElijahCuff/Yellow-Pages-Scraper-Australia,language:PHP,USES_LANGUAGE
repo:ElijahCuff/Yellow-Pages-Scraper-Australia,domain:GIS / Geography,IN_DOMAIN
repo:ElijahCuff/Yellow-Pages-Scraper-Australia,cluster:AI/Data,RELATED_TO
repo:ElijahCuff/Yellow-Pages-Scraper-Australia,cluster:GIS,RELATED_TO
repo:43South/westtamarda,org:43South,OWNED_BY
repo:43South/westtamarda,language:Python,USES_LANGUAGE
repo:43South/westtamarda,domain:Data Analysis,IN_DOMAIN
repo:43South/westtamarda,cluster:AI/Data,RELATED_TO
repo:mahirs291/house-price-analysis,org:mahirs291,OWNED_BY
repo:mahirs291/house-price-analysis,language:Jupyter Notebook,USES_LANGUAGE
repo:mahirs291/house-price-analysis,domain:Data Analysis,IN_DOMAIN
repo:mahirs291/house-price-analysis,cluster:AI/Data,RELATED_TO
repo:kurankat/tasmapper,org:kurankat,OWNED_BY
repo:kurankat/tasmapper,language:Go,USES_LANGUAGE
repo:kurankat/tasmapper,domain:GIS / Geography,IN_DOMAIN
repo:kurankat/tasmapper,cluster:GIS,RELATED_TO
repo:utasanalytics/utas-analytics,org:utasanalytics,OWNED_BY
repo:utasanalytics/utas-analytics,language:PHP,USES_LANGUAGE
repo:utasanalytics/utas-analytics,domain:Data Analysis,IN_DOMAIN
repo:utasanalytics/utas-analytics,cluster:UTAS,RELATED_TO
repo:utasanalytics/utas-analytics,cluster:AI/Data,RELATED_TO
repo:Jamzy01/tasmanian-bike-tours-website,org:Jamzy01,OWNED_BY
repo:Jamzy01/tasmanian-bike-tours-website,language:TypeScript,USES_LANGUAGE
repo:Jamzy01/tasmanian-bike-tours-website,domain:Data Analysis,IN_DOMAIN
repo:Jamzy01/tasmanian-bike-tours-website,cluster:AI/Data,RELATED_TO
repo:franciscoalbergoli/Sea_Urchin_Catcher,org:franciscoalbergoli,OWNED_BY
repo:franciscoalbergoli/Sea_Urchin_Catcher,language:JavaScript,USES_LANGUAGE
repo:franciscoalbergoli/Sea_Urchin_Catcher,domain:Marine Science,IN_DOMAIN
repo:cooindaonthebeach/cooindaonthebeach,org:cooindaonthebeach,OWNED_BY
repo:cooindaonthebeach/cooindaonthebeach,language:Unknown,USES_LANGUAGE
repo:cooindaonthebeach/cooindaonthebeach,domain:Data Analysis,IN_DOMAIN
repo:cooindaonthebeach/cooindaonthebeach,cluster:AI/Data,RELATED_TO
repo:nf-s/multiverse-website,org:nf-s,OWNED_BY
repo:nf-s/multiverse-website,language:TypeScript,USES_LANGUAGE
repo:nf-s/multiverse-website,domain:Web / App,IN_DOMAIN
repo:alexgleith/tasmap.org,org:alexgleith,OWNED_BY
repo:alexgleith/tasmap.org,language:JavaScript,USES_LANGUAGE
repo:alexgleith/tasmap.org,domain:GIS / Geography,IN_DOMAIN
repo:alexgleith/tasmap.org,cluster:GIS,RELATED_TO
repo:stuarta0/launceston-3d,org:stuarta0,OWNED_BY
repo:stuarta0/launceston-3d,language:Unknown,USES_LANGUAGE
repo:stuarta0/launceston-3d,domain:GIS / Geography,IN_DOMAIN
repo:stuarta0/launceston-3d,cluster:GIS,RELATED_TO
repo:parisba/2026-ArtsTas-SL,org:parisba,OWNED_BY
repo:parisba/2026-ArtsTas-SL,language:Unknown,USES_LANGUAGE
repo:parisba/2026-ArtsTas-SL,domain:Web / App,IN_DOMAIN
repo:jrcrisford/programming-portfolio-kit107,org:jrcrisford,OWNED_BY
repo:jrcrisford/programming-portfolio-kit107,language:C,USES_LANGUAGE
repo:jrcrisford/programming-portfolio-kit107,domain:Student Projects,IN_DOMAIN
repo:jrcrisford/programming-portfolio-kit107,cluster:UTAS,RELATED_TO
repo:TheDarkPanther/TasmaniaMap,org:TheDarkPanther,OWNED_BY
repo:TheDarkPanther/TasmaniaMap,language:Unknown,USES_LANGUAGE
repo:TheDarkPanther/TasmaniaMap,domain:GIS / Geography,IN_DOMAIN
repo:TheDarkPanther/TasmaniaMap,cluster:GIS,RELATED_TO
